year,section,file,ext,bytes,sha256
2025,UNKNOWN,First_Year_Class_2025.xlsx,.xlsx,48964,828f37f675b43542e0eddcac324eaa154730e04bce2c60a60473b6ff419dfb1c
2025,UNKNOWN,The_Basics_Academic_Calendar_2025.xlsx,.xlsx,20120,d2594f6eb7cb95faaa1305781e33d68989ad7efa098b61beb1ddc1731b50fc60
2025,admissions,First_Time_Bar_Admission_2025.xlsx,.xlsx,49149,e8e3085e221bbce37b0136c9c65b82caeb129e6ee4deea553c7899ca2bde8828
2025,admissions,TwoYear_Ultimate_Bar_Admission_2025.xlsx,.xlsx,17680,73d735dcda6ffc27b8ee6807cf6bb9b4bafe274e97bfd1afa4bd3ce14fca904d
2025,attrition,Attrition_2025.xlsx,.xlsx,247032,00a6bf83cdcd4159565baa01fa21c40d94c1f694e0564c73b9a4b4ce9cf1cf79
2025,curriculum,Curricular_Offerings_2025.xlsx,.xlsx,27369,7b14f77ab4b7a9862f86eba6ba4d440abcbfa5b61c8dfa57f6e459697d968483
2025,employment,Employment_Summary_20251.xlsx,.xlsx,116043,f24b9d21103218d0ef5359c62b07999b69ac1737b519f9e6213fd8909fba9120
2025,enrollment,JD_Enrollment_and_Ethnicity_2025.xlsx,.xlsx,173395,117cf9e1e5f59d3ecacff36d1759760a81be1db5e7ff73f6cf15088a736aa8ce
2025,faculty,Faculty_Resources_2025.xlsx,.xlsx,27413,e7767e19e2820d063c4f6aeb0fca7c52f46c0c12779a21d145f0280bf8860889
2025,grants,Grants_and_Scholarships_2025.xlsx,.xlsx,45228,12453bb834ccf960cf88350286510ee96006feefbde75729c911e8d91d3f2343
2025,transfers,Transfers_2025.xlsx,.xlsx,14544,6551f7e613dbb6a244c243810755e803a123b65fac7bba2a05d26c019cd735c5
2025,tuition,Tuitions_and_Fees_Living_Expenses_Cond._Scholarships_2025.xlsx,.xlsx,37907,70e0f52a977013960b1486d9712e49c43b6d3e9d4e43936e5c677592b2a02d29
